"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"04/20/2023","AQS","320030043","1","0.3","ppm","3","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"04/21/2023","AQS","320030043","1","0.3","ppm","3","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"04/22/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"04/23/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"04/24/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"04/25/2023","AQS","320030043","1","0.3","ppm","3","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"04/26/2023","AQS","320030043","1","0.3","ppm","3","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"04/27/2023","AQS","320030043","1","0.3","ppm","3","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"04/28/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"04/29/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"04/30/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"05/01/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","18","75.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
